Day,Date,Daily Rainfall Total (mm),Highest30-min Rainfall (mm),Highest60-min Rainfall (mm),Highest120-min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h),year,month
,25 April 2022,0.4,0.2,0.2,0.2,28.1,33.4,25.7,3.1,18.7,2022,April
,26 April 2022,0,0,0,0,28.1,31.4,24.9,2.7,13.7,2022,April
,27 April 2022,9.4,7.4,8.8,9.2,26.8,33.1,24.8,2.4,17.2,2022,April
,28 April 2022,8.6,6.4,8,8.6,27.6,34,24.5,2.8,16.9,2022,April
,29 April 2022,0,0,0,0,27.8,33.1,25,3.1,19.1,2022,April
,30 April 2022,11.6,7.4,7.8,7.8,27.7,33.5,24.4,2.6,29.1,2022,April
,01 May 2022,-,-,-,-,-,-,-,-,-,2022,May
,02 May 2022,0.4,0.4,0.4,0.4,27.7,31.6,24.5,4.2,35,2022,May
,03 May 2022,1.8,1,1.4,1.6,28.2,33.1,24.2,3.9,18.7,2022,May
,04 May 2022,8.2,5.2,5.6,7,27.7,30.9,24.2,4,24.8,2022,May
,05 May 2022,0,0,0,0,28.8,32.9,26.5,3.4,16.5,2022,May
,06 May 2022,0,0,0,0,29.4,34.6,26.3,3.1,20.9,2022,May
,07 May 2022,2.8,0.8,1.2,1.6,27.1,32.3,24.7,3.2,31.7,2022,May
,08 May 2022,1.4,0.6,0.6,0.8,27.2,30.5,24.6,2.7,19.1,2022,May
,09 May 2022,1.4,1,1.2,1.4,29.6,33.8,26.7,4,20.9,2022,May
,10 May 2022,0,0,0,0,29.7,34.6,26.3,3.5,17.6,2022,May
,11 May 2022,19.8,9.4,13,17.8,27.1,30.6,24.4,2.6,24.8,2022,May
,12 May 2022,0,0,0,0,29.1,34.1,25.8,4.7,25.6,2022,May
,13 May 2022,2,1.4,1.6,2,28.1,33.8,25.4,3.2,17.2,2022,May
,14 May 2022,6.8,6,6.4,6.8,28.6,33.6,25.6,2.9,17.2,2022,May
,15 May 2022,22.6,20.2,22.6,22.6,27.7,34.1,23.4,3.4,24.1,2022,May
,16 May 2022,2.8,2.2,2.2,2.2,26.8,32.9,24.2,3.8,26.7,2022,May
,17 May 2022,0,0,0,0,28.6,33.2,24.9,3.4,18,2022,May
,18 May 2022,0,0,0,0,29.4,34.5,25.9,3.4,21.3,2022,May
,19 May 2022,11,10.2,11,11,27.3,32.6,24.8,2.7,21.3,2022,May
,20 May 2022,30.4,24.4,29.8,30.4,27.2,33.6,23.1,3,35.9,2022,May
,21 May 2022,0,0,0,0,27.4,33.7,24.2,2.8,22.6,2022,May
,22 May 2022,0,0,0,0,28.6,33.8,25.9,3.5,23,2022,May
,23 May 2022,32.4,15.8,19,28,28.1,34.5,24.2,3.7,24.1,2022,May
,24 May 2022,0,0,0,0,28.6,34.2,24.1,3.7,21.3,2022,May
,25 May 2022,40.4,23,28.4,33.2,27.4,34,23.8,4.1,29.4,2022,May
,26 May 2022,0,0,0,0,27.8,33.9,23.5,3,14.4,2022,May
,27 May 2022,0,0,0,0,28.8,34.2,25.6,3.2,20.6,2022,May
,28 May 2022,0,0,0,0,28.7,34.3,25.5,3.8,23,2022,May
,29 May 2022,0,0,0,0,29.3,35.1,25.6,3.8,23,2022,May
,30 May 2022,0.2,0.2,0.2,0.2,29,33.9,25.7,2.8,18.7,2022,May
,31 May 2022,27.6,23.2,27.6,27.6,28.9,34.1,25.1,3.2,25.6,2022,May
,01 June 2022,-,-,-,-,-,-,-,-,-,2022,June
,02 June 2022,0,0,0,0,27.2,31.5,25.3,3.9,25.2,2022,June
,03 June 2022,31.2,18.6,26.2,31,26.8,30.3,24.2,2.2,25.2,2022,June
,04 June 2022,9,7.8,8.8,9,27.8,33,23.8,3,24.8,2022,June
