Date,Daily Rainfall Total (mm),Highest  30-min Rainfall (mm),Highest  60-min Rainfall (mm),Highest 120-min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h),year,month
20 Jan,0,0,0,0,26.5,29.9,24.1,10.1,28.8,2015,January
21 Jan,2.8,2.6,2.6,2.6,26,29.2,23.9,9.5,31.3,2015,January
22 Jan,0,0,0,0,26.6,30.2,24.4,10.2,32,2015,January
23 Jan,0,0,0,0,26.1,29.7,23.1,10.2,32.8,2015,January
24 Jan,0,0,0,0,26.1,30.1,23.7,8.8,25.6,2015,January
25 Jan,0,0,0,0,26.3,30.1,23.9,8.9,29.5,2015,January
26 Jan,0,0,0,0,26.4,30.6,24.1,9.5,30.2,2015,January
27 Jan,0,0,0,0,26.6,31.2,23.3,9.8,27.4,2015,January
28 Jan,0,0,0,0,26.7,31.7,22.9,9.4,28.1,2015,January
29 Jan,0,0,0,0,26,28.9,24.1,9.7,26.6,2015,January
30 Jan,0,0,0,0,26.4,30.3,24,9.7,31.7,2015,January
31 Jan,0,0,0,0,26.7,31.6,24.4,10.7,31.3,2015,January
2 Feb,3.2,2.8,3,3,25.6,29.1,23.2,10.6,34.6,2015,February
3 Feb,0.6,0.6,0.6,0.6,25.4,28.9,23.4,10.7,29.2,2015,February
4 Feb,0,0,0,0,25.4,27.8,22.9,10.3,30.6,2015,February
5 Feb,1.6,1.6,1.6,1.6,26.5,30.1,24.7,11.1,36.7,2015,February
6 Feb,20.6,15,19.4,20.2,25.8,29.1,23.8,10.7,36.4,2015,February
7 Feb,0,0,0,0,26.3,30.2,24,11.2,36,2015,February
8 Feb,0,0,0,0,26,30.1,23.1,11,34.2,2015,February
9 Feb,0,0,0,0,26.3,30,23.8,11.5,34.6,2015,February
10 Feb,0,0,0,0,—,—,—,—,—,2015,February
11 Feb,0,0,0,0,—,—,—,—,—,2015,February
12 Feb,0,0,0,0,—,—,—,—,—,2015,February
13 Feb,0,0,0,0,—,—,—,11.9,—,2015,February
14 Feb,0,0,0,0,25.8,29.9,22.4,10,28.4,2015,February
15 Feb,0,0,0,0,26.5,31.5,22.7,9,24.5,2015,February
16 Feb,0,0,0,0,26.9,32.1,23.5,10.1,29.5,2015,February
17 Feb,0,0,0,0,26.9,31.4,24.1,9.9,25.6,2015,February
18 Feb,0,0,0,0,27.1,31.7,23.8,9.9,31.3,2015,February
19 Feb,4.8,2.2,2.4,3.8,26.1,30.7,22.9,9.8,38.2,2015,February
20 Feb,0,0,0,0,26.8,30.9,24.3,9,25.6,2015,February
21 Feb,0,0,0,0,26.5,31.6,23.4,8.1,25.9,2015,February
22 Feb,0,0,0,0,26.6,30.9,23.6,9.2,31,2015,February
23 Feb,0,0,0,0,27.3,33.3,23.8,8.8,29.2,2015,February
24 Feb,0,0,0,0,26.5,30.5,23.9,8.3,24.8,2015,February
25 Feb,0,0,0,0,27,31.9,23.8,8.6,28.1,2015,February
26 Feb,0,0,0,0,26.7,30.9,23.9,7.3,21.6,2015,February
27 Feb,0,0,0,0,27.3,32.2,23.7,9.1,29.5,2015,February
28 Feb,0,0,0,0,27.6,32.4,23.9,9,28.1,2015,February
2 Mar,0,0,0,0,27.5,32.5,24.1,8.6,29.9,2015,March
3 Mar,0,0,0,0,27.6,32.6,24.7,8.3,26.3,2015,March
4 Mar,28.6,19.6,25.6,28.4,26.6,34,23,7.3,34.2,2015,March
5 Mar,0.2,0.2,0.2,0.2,26.8,32.2,23.7,7.6,26.3,2015,March
6 Mar,0,0,0,0,26.8,31.7,23.2,8,21.6,2015,March
7 Mar,0,0,0,0,27.4,32.2,23.8,8.2,25.6,2015,March
8 Mar,10,9,9.2,9.8,26.9,31.9,23.6,7.1,30.2,2015,March
9 Mar,0.4,0.4,0.4,0.4,27.5,32.2,24.8,8.5,31.3,2015,March
10 Mar,0,0,0,0,27.4,32.2,23.9,8.6,34.9,2015,March
11 Mar,28,19.2,21.6,22.6,25,28.5,23.8,8.8,31.7,2015,March
12 Mar,0.2,0.2,0.2,0.2,26.7,30.4,24.3,8.8,29.2,2015,March
13 Mar,0,0,0,0,26.6,31.3,23.3,8.9,27.7,2015,March
14 Mar,0,0,0,0,27.2,31.8,23.7,8.8,27.4,2015,March
15 Mar,0,0,0,0,27.2,30.8,24.5,7.9,24.8,2015,March
16 Mar,0,0,0,0,27.4,31.8,24.7,6.5,22.3,2015,March
17 Mar,0,0,0,0,27.8,32.5,24.9,6.7,20.5,2015,March
18 Mar,0,0,0,0,27.8,33.3,25.1,6.3,25.6,2015,March
19 Mar,0,0,0,0,27.7,32.4,24.8,5.9,24.1,2015,March
20 Mar,0,0,0,0,28,33.4,24.9,5.6,18.7,2015,March
21 Mar,0,0,0,0,28,33.6,25.4,6.1,23,2015,March
22 Mar,0.4,0.2,0.4,0.4,26.5,31.7,23.1,6.6,32.8,2015,March
23 Mar,0,0,0,0,27.7,32.5,24.6,7.2,24.1,2015,March
24 Mar,0,0,0,0,27.9,32.1,25.1,7.4,23.8,2015,March
25 Mar,0,0,0,0,28.4,32.3,25.1,8.3,31.7,2015,March
26 Mar,0,0,0,0,28.4,32.1,25.7,9.1,34.2,2015,March
27 Mar,0,0,0,0,28.2,32.5,24.8,8.8,28.8,2015,March
28 Mar,0,0,0,0,27.8,32,25.6,8.1,28.8,2015,March
29 Mar,2.8,1.2,1.2,1.2,26.3,28.4,25,6.1,28.4,2015,March
30 Mar,0,0,0,0,28.1,33,24.7,7.2,24.1,2015,March
31 Mar,17.8,7.8,10.6,10.6,27.1,32.8,25.1,6.1,28.4,2015,March
2 Apr,25,20.6,20.6,25,26.2,31.9,24.1,7.5,23.8,2015,April
3 Apr,0,0,0,0,27.2,31.6,24.9,5.4,27,2015,April
4 Apr,0,0,0,0,28.3,34.5,24.9,6.1,24.1,2015,April
5 Apr,4.2,2,2.2,2.2,26.8,30.1,25.2,5.6,72.7,2015,April
6 Apr,0,0,0,0,27.8,33.3,25.5,6.2,19.8,2015,April
7 Apr,0,0,0,0,28.2,33,25.5,7,25.2,2015,April
8 Apr,0,0,0,0,28.6,33.4,25.2,7.3,27.7,2015,April
9 Apr,0,0,0,0,28.2,32.1,25.2,7.5,25.9,2015,April
10 Apr,0,0,0,0,28.6,33.1,25.8,6.2,22.7,2015,April
11 Apr,0,0,0,0,27,32,25.2,6.9,25.6,2015,April
12 Apr,0,0,0,0,27.9,33.6,24.8,7.1,29.2,2015,April
13 Apr,0,0,0,0,28.5,33.6,25.1,6.9,25.2,2015,April
14 Apr,0,0,0,0,28.4,33.5,24.9,7.1,27,2015,April
15 Apr,0,0,0,0,28.3,33.2,24.7,6.9,21.6,2015,April
16 Apr,0,0,0,0,28.6,32.9,25.2,7.1,23,2015,April
17 Apr,0,0,0,0,28.8,33.7,25.4,7,28.1,2015,April
18 Apr,0,0,0,0,28.7,33.8,25.1,5.4,21.6,2015,April
19 Apr,9.2,7,8.2,9.2,27.4,33.9,24.1,6.4,25.2,2015,April
20 Apr,0,0,0,0,27.8,35.1,24.8,7.4,36,2015,April
21 Apr,24,20.4,23.2,23.8,26.8,34.2,23,9.4,30.6,2015,April
22 Apr,0,0,0,0,27.9,33.3,24.4,7.9,24.5,2015,April
23 Apr,0,0,0,0,28.3,32.8,25.4,7,19.8,2015,April
24 Apr,1,0.8,0.8,0.8,27.5,33.1,25,8.2,26.6,2015,April
25 Apr,0,0,0,0,27.7,32.5,24.5,8.2,24.8,2015,April
26 Apr,19.6,11.2,12.2,12.2,26.9,31.4,24.7,6.9,24.8,2015,April
27 Apr,0.4,0.4,0.4,0.4,27.1,33.3,25.4,6.8,23,2015,April
28 Apr,0.2,0.2,0.2,0.2,27.6,32.5,24.7,7.8,40.3,2015,April
29 Apr,0,0,0,0,27.9,33.8,25.2,6.9,24.1,2015,April
30 Apr,11.8,9.4,10.8,11.2,26.7,32.1,24.4,8.3,24.8,2015,April
2 May,1.2,1,1,1.2,27.2,31.5,24.8,7.3,25.2,2015,May
3 May,32.8,13.2,18.2,27,26.3,29.7,23.9,6.9,36.4,2015,May
4 May,1.6,1.2,1.2,1.2,26.8,32.3,24.1,8.3,38.5,2015,May
5 May,13.8,13,13.6,13.6,27.3,33.5,23.8,8.5,48.6,2015,May
6 May,12.8,12.6,12.6,12.6,27.4,33.5,24.2,6.6,48.2,2015,May
7 May,27.4,26.4,27.4,27.4,28,33.7,25.2,5.2,29.5,2015,May
8 May,1.2,0.8,0.8,0.8,28,32.3,26.1,5.2,23.4,2015,May
9 May,0,0,0,0,28.9,33.5,25.4,5.6,20.5,2015,May
10 May,0.6,0.6,0.6,0.6,29,33.5,26.8,4.8,24.5,2015,May
11 May,0,0,0,0,29.4,33.5,26.4,5.2,20.5,2015,May
12 May,1.6,1.6,1.6,1.6,28.4,33.4,26.4,5.4,23.8,2015,May
13 May,0,0,0,0,28.4,33.9,26,6.5,20.5,2015,May
14 May,8.2,7.4,8,8.2,28.4,34.5,24.9,7.8,37.4,2015,May
15 May,2,0.6,1.2,1.4,26.5,30.3,24.8,7.8,26.3,2015,May
16 May,0.8,0.6,0.8,0.8,27.4,33.1,25.8,6.5,24.8,2015,May
17 May,0,0,0,0,28.2,33.9,25.9,7.2,27,2015,May
18 May,37.4,33.2,34.8,35,27.7,31.9,24.6,6.5,28.4,2015,May
19 May,2.6,2,2.4,2.4,28.4,33,26.1,5.8,25.6,2015,May
20 May,0,0,0,0,27.9,33.1,25.5,6.6,24.8,2015,May
21 May,0.4,0.4,0.4,0.4,28.6,33.2,25.8,6.6,20.2,2015,May
22 May,0,0,0,0,28.6,32.6,26.6,5.8,22.7,2015,May
23 May,5.4,1.8,3.2,4.8,26.6,28.7,24.9,8.8,32.8,2015,May
24 May,0.2,0.2,0.2,0.2,28.1,33.1,25.1,6.7,18.7,2015,May
25 May,2.6,2.6,2.6,2.6,27.8,32.9,26.1,6.8,24.5,2015,May
26 May,0,0,0,0,27.7,32.8,24.7,8.7,34.2,2015,May
27 May,37.4,30.6,37.2,37.2,27.6,32.5,24.2,7.8,34.9,2015,May
28 May,0,0,0,0,28.4,32.8,25.8,6.8,19.8,2015,May
29 May,0,0,0,0,29.2,33.6,26.4,6.1,26.3,2015,May
30 May,0,0,0,0,29.1,33.9,26.7,6.4,32.4,2015,May
31 May,0,0,0,0,28.5,33.5,25.6,7,27,2015,May
2 Jun,0,0,0,0,28.9,33.7,26,7.4,29.9,2015,June
3 Jun,0,0,0,0,28.6,33.5,24.8,7.9,23.4,2015,June
4 Jun,0,0,0,0,28.6,33.6,25.4,6.8,20.2,2015,June
5 Jun,0,0,0,0,28.5,35.2,25.6,7.4,22.7,2015,June
6 Jun,6.8,3.8,4.8,6.6,27.5,34.1,24.8,8.4,24.8,2015,June
7 Jun,7.2,1.6,2.8,4.8,27.2,30.5,25.4,7.5,20.5,2015,June
8 Jun,0,0,0,0,28.1,32.7,26.2,7,20.2,2015,June
9 Jun,0,0,0,0,27.6,31.2,25.3,9.1,28.8,2015,June
10 Jun,0,0,0,0,28.8,34.1,25.7,7.3,23.8,2015,June
11 Jun,0,0,0,0,27.7,33.2,25.7,7.1,28.1,2015,June
12 Jun,16.8,5.2,7.2,11,26.1,29.3,25,8.7,36,2015,June
13 Jun,0.2,0.2,0.2,0.2,27.8,32.2,25.4,7.4,23.8,2015,June
14 Jun,4.2,1.2,2.4,3.8,26,27.6,24.5,10.6,41.8,2015,June
15 Jun,6.6,6.6,6.6,6.6,27.1,32,24.8,7.4,25.2,2015,June
16 Jun,1.4,1,1,1,26.5,29.8,23.5,8.1,34.9,2015,June
17 Jun,5.6,5.2,5.2,5.4,26.9,31.4,24.4,7.2,25.2,2015,June
18 Jun,0,0,0,0,28.7,33,25.5,7,21.6,2015,June
19 Jun,0,0,0,0,28.7,32.7,26,6.6,22.7,2015,June
20 Jun,0,0,0,0,29.1,33.4,26.1,6.5,23.4,2015,June
21 Jun,0,0,0,0,29.2,33.7,26.5,6.4,28.1,2015,June
22 Jun,0,0,0,0,29.8,34.4,26.7,6.7,23.8,2015,June
23 Jun,0,0,0,0,29.6,33.8,26.6,6.7,24.5,2015,June
24 Jun,0,0,0,0,29.6,33.7,26.9,7,25.6,2015,June
25 Jun,0,0,0,0,29.3,32.5,27,6.8,24.5,2015,June
26 Jun,0,0,0,0,29,32.9,26.1,7,23.4,2015,June
27 Jun,0,0,0,0,29.4,34.5,25.5,7.2,25.2,2015,June
28 Jun,0,0,0,0,29.1,33.3,26.5,7,24.8,2015,June
29 Jun,0,0,0,0,29.2,33.7,26,7.2,21.6,2015,June
30 Jun,0,0,0,0,28.9,33.6,26,7.2,23,2015,June
2 Jul,0,0,0,0,28.7,32.7,25.9,7.5,26.6,2015,July
3 Jul,0,0,0,0,28.8,32.9,25.9,7.5,26.3,2015,July
4 Jul,11.6,9.8,10.4,11.6,26.5,28.6,22.8,8.7,52.6,2015,July
5 Jul,0,0,0,0,28.6,33.3,24.9,7.3,23,2015,July
6 Jul,0,0,0,0,29,32.8,26.4,7.4,23,2015,July
7 Jul,1,0.8,1,1,28.5,32.8,26.7,7.2,25.6,2015,July
8 Jul,2.2,1.2,1.6,2.2,27.8,32.5,24.4,8,40.3,2015,July
9 Jul,0.6,0.2,0.4,0.6,28.9,33.8,25.7,7.2,28.4,2015,July
10 Jul,0.2,0.2,0.2,0.2,28.1,31.3,24.8,7.1,21.2,2015,July
11 Jul,5.2,5.2,5.2,5.2,28.7,33.1,26.4,7,20.9,2015,July
12 Jul,0,0,0,0,28.5,32.9,26.5,7.5,28.4,2015,July
13 Jul,0.2,0.2,0.2,0.2,28.9,32.8,26.4,7.3,32.4,2015,July
14 Jul,23.2,18.8,21.6,22.8,27.9,32.2,23.6,7.8,47.2,2015,July
15 Jul,0,0,0,0,28.8,33.8,26,7.1,27,2015,July
16 Jul,1.8,1.8,1.8,1.8,28.6,33.2,26.3,8,30.6,2015,July
17 Jul,0,0,0,0,28.9,33,26.3,7.9,31,2015,July
18 Jul,0.2,0.2,0.2,0.2,29.4,33.8,27.5,7.9,27.4,2015,July
19 Jul,2.4,2.4,2.4,2.4,28.9,32.3,26.6,7.4,24.5,2015,July
20 Jul,0,0,0,0,28.8,33.1,26,8.1,24.8,2015,July
21 Jul,0,0,0,0,29,33.1,26.3,8.1,25.2,2015,July
22 Jul,0,0,0,0,29,33.2,25.9,8.1,24.8,2015,July
23 Jul,0,0,0,0,28.8,33.3,26.5,7.7,25.2,2015,July
24 Jul,0,0,0,0,28.6,33.9,25.2,8.8,27,2015,July
25 Jul,0,0,0,0,28.8,34.7,25.1,8.4,23.4,2015,July
26 Jul,2,1.6,1.6,1.6,27.4,32,23.9,8.6,39.2,2015,July
27 Jul,0.2,0.2,0.2,0.2,28.4,33.3,25,8.8,28.4,2015,July
28 Jul,20,19.4,20,20,27.8,32.4,22.9,8.9,31.3,2015,July
29 Jul,0,0,0,0,28.3,32.5,25.8,8.8,25.9,2015,July
30 Jul,0,0,0,0,28.4,32.4,25.4,8.5,30.2,2015,July
31 Jul,3.8,2.2,3,3.6,26.8,33.2,24.3,9.9,36.4,2015,July
2 Aug,0,0,0,0,28.3,32.8,25.1,8.7,24.8,2015,August
3 Aug,16.8,7,8.8,9.4,25.3,28,22.6,9.6,35.6,2015,August
4 Aug,2.8,0.8,1.6,2.4,26.6,31.5,24.2,8.7,27.4,2015,August
5 Aug,0,0,0,0,27.4,31.7,25.1,8.4,21.6,2015,August
6 Aug,14,10.8,12.2,13.8,26.5,30.5,25,8.5,21.6,2015,August
7 Aug,3.4,3.2,3.2,3.2,26.6,30.7,25.1,8.4,27,2015,August
8 Aug,5.8,5.4,5.6,5.8,27.5,32.6,24.6,8.4,28.8,2015,August
9 Aug,19.4,17.6,18.2,18.2,27.3,31.7,23,8.7,45,2015,August
10 Aug,0,0,0,0,28.7,33,25.6,8.8,27.7,2015,August
11 Aug,1.8,1.6,1.6,1.6,28.3,32.2,26.3,8.8,36.4,2015,August
12 Aug,71.6,36,56.4,67.2,25.9,27.4,24.2,8.7,26.3,2015,August
13 Aug,0,0,0,0,27.9,33.3,25.3,8.1,32.8,2015,August
14 Aug,0,0,0,0,28.5,32.7,26,7.9,24.1,2015,August
15 Aug,0,0,0,0,28.4,33.2,25.7,8.2,28.1,2015,August
16 Aug,0,0,0,0,28.2,32.5,25.8,8.2,29.9,2015,August
17 Aug,0,0,0,0,28.2,32.6,25.5,8.3,29.9,2015,August
18 Aug,0,0,0,0,28.5,33.7,25.5,7.7,24.1,2015,August
19 Aug,0,0,0,0,28.3,33.1,24.5,7.6,26.3,2015,August
20 Aug,0,0,0,0,28.7,33.6,25.3,7.7,25.2,2015,August
21 Aug,0,0,0,0,27.7,32.3,25.8,8.7,32.8,2015,August
22 Aug,0,0,0,0,28.3,32.3,25.6,8.2,35.3,2015,August
23 Aug,0,0,0,0,28.4,31.4,26.8,9.1,28.1,2015,August
24 Aug,0,0,0,0,28.3,31.7,26.8,8.7,27.7,2015,August
25 Aug,43.6,26.8,39.6,42.2,26.8,30.9,23.4,7.8,25.2,2015,August
26 Aug,0,0,0,0,27.9,31.3,25.6,7.8,30.2,2015,August
27 Aug,0,0,0,0,28.2,32,25.1,7.9,41.8,2015,August
28 Aug,0,0,0,0,28.3,32.4,25.4,7.9,25.2,2015,August
29 Aug,0,0,0,0,29.2,33.1,26.9,8.6,30.2,2015,August
30 Aug,0.4,0.2,0.2,0.4,28.3,32.9,25.4,8.1,32.8,2015,August
31 Aug,0,0,0,0,28.5,33.2,25.5,8.9,32.4,2015,August
2 Sep,0,0,0,0,28.6,33.1,25.1,8.1,25.6,2015,September
3 Sep,0,0,0,0,28.8,32.3,27,8.6,25.9,2015,September
4 Sep,0,0,0,0,28.6,33.2,26,7.5,24.1,2015,September
5 Sep,0,0,0,0,28.6,32.8,26,7.6,25.6,2015,September
6 Sep,0,0,0,0,28.7,33.7,25.3,7.2,22.7,2015,September
7 Sep,0,0,0,0,28.3,33.2,24.7,7.6,22.3,2015,September
8 Sep,0,0,0,0,28.7,33.3,25.4,8.1,25.2,2015,September
9 Sep,16.6,12.4,15.4,16.4,26,31.5,23.1,8.1,48.2,2015,September
10 Sep,0,0,0,0,26.7,31.3,23.3,7.2,23.4,2015,September
11 Sep,0,0,0,0,27.9,32.6,24.6,7.5,25.6,2015,September
12 Sep,0,0,0,0,27.7,31.6,24.6,7.7,30.6,2015,September
13 Sep,0,0,0,0,28.1,32.4,25.3,7.6,23.4,2015,September
14 Sep,0,0,0,0,28.2,32.2,25.5,7.8,36.7,2015,September
15 Sep,6.8,2.2,2.4,4.2,25.5,28.5,23.7,7.5,24.8,2015,September
16 Sep,8.2,7.6,8.2,8.2,26.3,30.7,24.6,7.2,31.3,2015,September
17 Sep,0,0,0,0,28.2,32.2,25.7,8.1,31.3,2015,September
18 Sep,0,0,0,0,28.4,31.9,25.5,7.6,29.2,2015,September
19 Sep,0,0,0,0,28.5,33.5,25.6,7.1,21.6,2015,September
20 Sep,0,0,0,0,28.4,33.3,25.2,7.4,23.4,2015,September
21 Sep,0.2,0.2,0.2,0.2,28.1,33.1,25.6,7.6,27,2015,September
22 Sep,4,4,4,4,27.6,31,25.4,7.4,24.5,2015,September
23 Sep,0,0,0,0,28.3,32.8,25.5,8.1,27,2015,September
24 Sep,0,0,0,0,28.3,33.5,24.7,7.7,23,2015,September
25 Sep,0,0,0,0,28.3,33.3,25,7.9,25.2,2015,September
26 Sep,0,0,0,0,28.2,31.8,24.6,7.7,23.4,2015,September
27 Sep,0,0,0,0,28,32.4,25.3,7.1,21.6,2015,September
28 Sep,12.4,3.4,5.4,8.2,26.6,32.1,23.4,8.4,28.1,2015,September
29 Sep,0.2,0.2,0.2,0.2,27.2,31.8,23.9,7.4,21.6,2015,September
30 Sep,1.4,1.4,1.4,1.4,27.3,32.4,25,7.8,31.3,2015,September
2 Oct,24.8,17.8,18,18.2,26.7,32.3,22.9,8.7,34.2,2015,October
3 Oct,0,0,0,0,27.8,32.1,24.6,7.9,25.9,2015,October
4 Oct,0,0,0,0,28.2,32,24.9,7.6,29.2,2015,October
5 Oct,0,0,0,0,27.6,31.3,25.9,7.1,20.2,2015,October
6 Oct,7.6,3.4,3.8,4.2,26.5,31.6,24,7.5,23.8,2015,October
7 Oct,3.8,3.6,3.6,3.6,27.2,32.2,24.3,7.2,22,2015,October
8 Oct,0,0,0,0,27.5,33.8,24.5,7.9,24.5,2015,October
9 Oct,0,0,0,0,28.2,33.3,24.3,7.9,25.9,2015,October
10 Oct,0,0,0,0,28,31.9,24.5,7.5,24.1,2015,October
11 Oct,0,0,0,0,28.7,33.9,25.6,7.4,24.1,2015,October
12 Oct,0,0,0,0,28,33.8,25,7.2,26.6,2015,October
13 Oct,0,0,0,0,27.9,33.6,24.9,7.4,23.8,2015,October
14 Oct,0,0,0,0,28.1,32.8,24.4,7.5,25.9,2015,October
15 Oct,0,0,0,0,28.7,34.7,25,8,24.8,2015,October
16 Oct,0,0,0,0,28.2,32.5,25.1,7.4,23.8,2015,October
17 Oct,0,0,0,0,28.8,33.3,25.2,7.5,24.8,2015,October
18 Oct,0,0,0,0,28.4,32.2,25.6,7.1,23.4,2015,October
19 Oct,0,0,0,0,28.7,34.2,25.9,7.5,28.4,2015,October
20 Oct,0,0,0,0,28.1,32.9,25,7.5,24.8,2015,October
21 Oct,0,0,0,0,28.3,32.9,24.6,7.5,25.6,2015,October
22 Oct,0,0,0,0,28.8,33.4,25.4,7.4,23.8,2015,October
23 Oct,0,0,0,0,28.9,33,26.2,7.4,24.8,2015,October
24 Oct,10.6,7.6,8,10.6,27.7,32.2,25,7.3,32,2015,October
25 Oct,0.8,0.6,0.6,0.6,27.3,30.6,25.1,7.5,19.4,2015,October
26 Oct,0.2,0.2,0.2,0.2,27.9,33.3,25.4,7.2,24.8,2015,October
27 Oct,0,0,0,0,28.2,32.8,25.1,7.9,25.2,2015,October
28 Oct,32.4,18.2,26.2,28.6,26,30.9,21.6,8.6,41,2015,October
29 Oct,0,0,0,0,27.8,32.6,24.2,7.8,20.9,2015,October
30 Oct,3.4,1.6,2.8,3.2,26.8,31.8,24.4,8,29.2,2015,October
31 Oct,0.4,0.2,0.2,0.2,26.4,30.4,24.4,8,20.2,2015,October
2 Nov,0.2,0.2,0.2,0.2,27,33.2,24.4,8.2,24.8,2015,November
3 Nov,0,0,0,0,27.6,33.6,24,8,29.2,2015,November
4 Nov,3.4,3.4,3.4,3.4,27.1,32.3,24.4,8.2,25.6,2015,November
5 Nov,8.6,7.8,8.6,8.6,27.3,33.2,24.1,8.6,32.8,2015,November
6 Nov,0,0,0,0,27.4,31.5,25.2,8.1,26.3,2015,November
7 Nov,0,0,0,0,27.4,32.5,24.7,8.5,25.9,2015,November
8 Nov,0,0,0,0,26.7,30.6,24.1,7.5,19.4,2015,November
9 Nov,0,0,0,0,27.5,32.3,24.3,7.9,38.2,2015,November
10 Nov,0,0,0,0,27.2,33,24.5,7.5,31,2015,November
11 Nov,0,0,0,0,26.7,32,24.5,8.8,24.1,2015,November
12 Nov,0.8,0.4,0.4,0.4,27.2,32.8,24.6,8.4,30.2,2015,November
13 Nov,0,0,0,0,27,31.7,24.8,7.9,24.8,2015,November
14 Nov,0,0,0,0,28,33.3,24.5,7.6,20.9,2015,November
15 Nov,1.4,1,1.4,1.4,26.8,30.5,25.4,7.9,22,2015,November
16 Nov,1.8,0.8,1.2,1.4,26,30.3,24.6,8.7,26.6,2015,November
17 Nov,9.6,5.2,5.4,8.8,26.4,30.2,23.3,8.3,22.7,2015,November
18 Nov,0,0,0,0,27.8,32.4,24.5,8.2,23.8,2015,November
19 Nov,0.4,0.4,0.4,0.4,27.5,32.4,25.2,7.5,27.7,2015,November
20 Nov,0,0,0,0,27.2,31.2,24.7,8.6,25.9,2015,November
21 Nov,13.6,13,13.2,13.4,26.6,32.9,24.8,8.6,29.9,2015,November
22 Nov,0.2,0.2,0.2,0.2,27.7,33.6,24.3,8.2,25.6,2015,November
23 Nov,0,0,0,0,28.1,33.9,25.1,8.4,23,2015,November
24 Nov,22.8,12,12.6,21.6,25.9,30.6,23.8,8.2,28.8,2015,November
25 Nov,3.2,3,3,3,26.6,31.8,24.3,8.5,23.8,2015,November
26 Nov,0.6,0.4,0.4,0.6,26.6,31.5,24.3,10.2,26.6,2015,November
27 Nov,0,0,0,0,26.9,30.9,24.4,8.8,24.8,2015,November
28 Nov,0,0,0,0,27.8,33.2,25.2,8.5,29.2,2015,November
29 Nov,4,2,3,3.2,27.8,33,24.4,8.1,22.7,2015,November
30 Nov,3.4,1.2,1.6,1.6,27,32.8,24.5,9,28.8,2015,November
2 Dec,5.4,5.4,5.4,5.4,26.4,31.9,23.9,7.6,24.1,2015,December
3 Dec,0,0,0,0,27.5,32.4,24.5,8.4,27,2015,December
4 Dec,0,0,0,0,27.5,32.7,24.9,7.9,25.6,2015,December
5 Dec,2,2,2,2,27.2,32.5,24.6,8.4,38.9,2015,December
6 Dec,4.8,3.2,3.4,3.6,26.4,32.3,24.6,8,28.1,2015,December
7 Dec,0.2,0.2,0.2,0.2,27.9,32.3,24.3,9.8,32.8,2015,December
8 Dec,15.2,5.2,8.4,9.4,27.3,31.8,24.8,7.7,25.9,2015,December
9 Dec,1.2,0.6,0.6,0.8,27.6,32.5,24.4,8.9,25.9,2015,December
10 Dec,15.2,7.4,9.2,9.4,27,33,23.3,9,36.4,2015,December
11 Dec,1.6,0.8,1,1.4,26.6,31.1,24.6,7.9,22.7,2015,December
12 Dec,26.2,11.2,12.6,16.4,26.2,31.6,24,8.6,30.6,2015,December
13 Dec,16.2,6.2,6.6,6.6,25.3,28.3,23.9,9.4,24.8,2015,December
14 Dec,0.6,0.2,0.4,0.4,26.8,31.8,23.9,9,26.6,2015,December
15 Dec,0,0,0,0,26.9,29.4,24.6,9,24.5,2015,December
16 Dec,1,1,1,1,27.1,30.2,25.5,9.4,32.8,2015,December
17 Dec,0,0,0,0,27.3,30.3,25.6,10.7,33.5,2015,December
18 Dec,9.4,9,9.2,9.4,27.2,31.3,23.6,10.3,45.4,2015,December
19 Dec,0,0,0,0,27.7,32.4,24.1,10.8,33.1,2015,December
20 Dec,0,0,0,0,27.9,32.3,24.6,10.1,28.1,2015,December
21 Dec,0,0,0,0,27.8,33,24.8,8.6,25.2,2015,December
22 Dec,5.6,5.6,5.6,5.6,27.5,34,24.4,8.1,26.3,2015,December
23 Dec,24,18.2,21.2,21.8,26.5,31.9,22.9,8.6,25.6,2015,December
24 Dec,44,27.6,36.4,43.4,25.5,29.7,22.5,7.8,29.2,2015,December
25 Dec,0,0,0,0,27,31.3,23.8,9.4,31,2015,December
26 Dec,0.2,0.2,0.2,0.2,27.3,31.5,24.4,9.8,40.7,2015,December
27 Dec,0,0,0,0,27.2,31.4,23.8,8.9,28.4,2015,December
28 Dec,0,0,0,0,27.8,32.2,24.7,9.6,34.9,2015,December
29 Dec,45.4,14.6,17.4,18.6,26,28.9,23.8,9.9,31.7,2015,December
30 Dec,2.2,1.6,2.2,2.2,27.4,31.2,24.8,11.8,36.4,2015,December
31 Dec,24.6,12.6,13.8,17.8,25.7,29.8,24.4,10.1,36.7,2015,December
2 Jan,36.2,23,33.8,34.6,25.3,28,22.8,8.6,25.6,2016,January
3 Jan,16.2,8.8,11.2,12.2,25.1,26.3,23.8,9,23.4,2016,January
4 Jan,0,0,0,0,27.2,32,23.6,9.4,26.6,2016,January
5 Jan,0,0,0,0,27.8,32.5,24.8,9.4,29.5,2016,January
6 Jan,0,0,0,0,27.7,31.5,25,9.7,31.7,2016,January
7 Jan,0,0,0,0,28,32.2,25.4,10.8,34.9,2016,January
8 Jan,0,0,0,0,27.7,32.3,24.2,10.1,34.2,2016,January
